model_path,iteration,precision,recall,mAP50,mAP50_95,ril_deletion,ril_addition,est_deletion,est_addition
C:/Users/USER/Documents/a skripsi/workv1/self-training/1-iter/model1/weights/best.pt,1,0.989437,0.972318,0.985617,0.888554,0,0,2.999999999999996,7.999999999999995
C:/Users/USER/Documents/a skripsi/workv1/self-training/2-iter/model2/weights/best.pt,2,1.000000,0.941176,0.970500,0.884399,0,0,0.0,17.000000000000004
C:/Users/USER/Documents/a skripsi/workv1/self-training/3-iter/model3/weights/best.pt,3,0.985455,0.937716,0.967931,0.874553,0,0,3.999999999999995,17.999999999999986
C:/Users/USER/Documents/a skripsi/workv1/self-training/4-iter/model4/weights/best.pt,4,0.975265,0.955017,0.975592,0.881133,22,7,6.999999999999987,13.000000000000007
C:/Users/USER/Documents/a skripsi/workv1/self-training/5-iter/model5/weights/best.pt,5,0.978571,0.948097,0.972283,0.879985,7,0,6.00000000000001,15.000000000000005
C:/Users/USER/Documents/a skripsi/workv1/self-training/6-iter/model6/weights/best.pt,6,0.993311,0.868512,0.934429,0.862771,9,0,1.7258513640154494,38.00000000000001
C:/Users/USER/Documents/a skripsi/workv1/self-training/7-iter/model7/weights/best.pt,7,0.996134,0.891557,0.945841,0.868643,14,0,1.005184387136544,31.340119681684683
C:/Users/USER/Documents/a skripsi/workv1/self-training/8-iter/model8/weights/best.pt,8,1.000000,0.986159,0.992225,0.912359,5,54,0.0,3.9999999999999973
C:/Users/USER/Documents/a skripsi/workv1/self-training/9-iter/model9/weights/best.pt,9,1.000000,0.993080,0.995000,0.912620,1,0,0.0,1.9999999999999987
C:/Users/USER/Documents/a skripsi/workv1/self-training/10-iter/model10/weights/best.pt,10,0.999398,0.993080,0.995000,0.909272,13,0,0.17332671679077194,1.9999999999999987
