epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1361,1.89702,5.69281,1.37934,0.00316,0.94828,0.01025,0.00576,0.8169,3.85733,0.83132,0.00028,0.00028,0.00028
2,17.74,1.07418,2.30406,0.95271,0.00322,0.96552,0.01046,0.00618,0.88843,3.81311,0.86531,0.000568516,0.000568516,0.000568516
3,25.667,0.93865,1.80926,0.90471,0.00316,0.94828,0.00929,0.00536,0.77285,3.68035,0.84984,0.000845152,0.000845152,0.000845152
4,32.3034,0.88503,1.59284,0.89528,0.00316,0.94828,0.01031,0.00732,0.73474,3.49003,0.86381,0.00110991,0.00110991,0.00110991
5,40.278,0.85996,1.4018,0.90288,0.00328,0.98276,0.01141,0.00803,0.90972,3.2764,0.90359,0.00136278,0.00136278,0.00136278
6,46.7073,0.88615,1.35055,0.88487,1,0.16744,0.83142,0.65543,0.82753,2.73942,0.92915,0.00160378,0.00160378,0.00160378
7,54.7845,0.82042,1.18814,0.87901,1,0.58098,0.95115,0.7867,0.75202,2.15642,0.87096,0.0017624,0.0017624,0.0017624
8,61.0713,0.86629,1.09276,0.87919,1,0.96125,0.98529,0.83843,0.71559,1.25214,0.86672,0.0017228,0.0017228,0.0017228
9,68.5163,0.80653,1.12453,0.86365,0.99651,0.96552,0.99372,0.81001,0.71192,1.05765,0.85069,0.0016832,0.0016832,0.0016832
10,74.7344,0.73569,0.95307,0.8513,1,0.96727,0.99341,0.83086,0.67321,0.72576,0.83469,0.0016436,0.0016436,0.0016436
11,81.6507,0.76311,0.93603,0.88339,0.99686,0.96552,0.99222,0.80839,0.70593,0.64028,0.8468,0.001604,0.001604,0.001604
12,88.7094,0.79354,0.89459,0.86136,0.98272,0.98066,0.99432,0.81142,0.71174,0.57599,0.82712,0.0015644,0.0015644,0.0015644
13,96.6005,0.77678,0.83277,0.86648,0.99032,0.98276,0.99451,0.8121,0.67966,0.525,0.83134,0.0015248,0.0015248,0.0015248
14,102.651,0.75905,0.78372,0.84694,1,0.97892,0.99483,0.83014,0.61819,0.53525,0.81533,0.0014852,0.0014852,0.0014852
15,110.863,0.72891,0.75646,0.85835,1,0.99854,0.995,0.87077,0.58829,0.53836,0.82069,0.0014456,0.0014456,0.0014456
16,117.307,0.71612,0.75103,0.85432,0.99878,1,0.995,0.84858,0.60765,0.53975,0.81587,0.001406,0.001406,0.001406
17,124.732,0.68601,0.68989,0.85069,1,0.99897,0.995,0.86371,0.53354,0.49027,0.80509,0.0013664,0.0013664,0.0013664
18,130.992,0.66334,0.66864,0.85763,0.98102,1,0.99449,0.84571,0.57627,0.48167,0.80498,0.0013268,0.0013268,0.0013268
